"last_name, first_name","player_id","year","hit","strikeout","walk","p_earned_run","p_save","p_blown_save","p_out","p_win","p_balk","p_quality_start","p_hit_by_pitch","p_hold","p_total_pickoff"
"Marinaccio, Ron",676760,2024,18,25,10,"10","0","1","70","1","1","0","3","1","0"
"Lowder, Rhett",695076,2024,25,22,14,"4","0","0","92","2","0","1","0","0","0"
"Rogers, Taylor",573124,2024,53,64,22,"16","0","0","180","1","0","0","2","8","0"
"Ferrer, Jose A.",678606,2024,27,25,6,"12","1","1","96","1","1","0","2","6","0"
"Kelly, Kevin",687330,2024,59,63,9,"21","1","3","212","5","0","0","5","17","1"
"Matthews, Zebby",805673,2024,51,43,11,"28","0","0","113","1","0","0","2","0","0"
"Flexen, Chris",623167,2024,180,123,63,"88","0","0","480","3","2","10","2","0","2"
"Paxton, James",572020,2024,95,73,50,"49","0","0","301","9","0","7","1","0","1"
"Mantiply, Joe",573009,2024,52,53,18,"26","1","1","179","6","1","0","0","16","0"
"Espino, Paolo",502179,2024,14,3,5,"8","0","0","26","0","0","0","1","0","0"
"Davis, Austin",656354,2024,6,6,5,"7","0","0","21","0","0","0","2","0","0"
"De Los Santos, Enyel",660853,2024,65,66,25,"37","2","2","192","1","0","0","5","9","1"
"Robert, Daniel",642016,2024,6,6,2,"2","0","0","17","1","0","0","2","0","0"
"Halvorsen, Seth",678020,2024,8,13,2,"2","2","1","37","2","1","0","1","2","0"
"Webb, Jacob",657097,2024,40,58,27,"19","2","1","170","2","0","0","1","14","0"
"Rodriguez, Carlos",692230,2024,19,9,3,"10","0","0","37","0","0","0","0","0","1"
"Lamet, Dinelson",659275,2024,2,3,2,"1","1","0","13","0","0","0","0","0","0"
"Mattson, Isaac",676755,2024,1,6,5,"3","0","0","16","0","0","0","1","0","0"
"Schreiber, John",670167,2024,48,46,20,"21","2","3","155","4","0","0","4","23","0"
"Parsons, Wes",641149,2024,10,7,2,"6","0","0","27","0","1","0","0","0","0"
"Foley, Jason",671345,2024,51,46,20,"21","28","4","180","3","1","0","2","8","0"
"Snell, Blake",605483,2024,65,145,44,"36","0","0","312","5","0","10","1","0","1"
"Garabito, Gerson",642520,2024,23,22,12,"14","0","1","79","0","0","0","4","0","0"
"Rasmussen, Drew",656876,2024,25,35,6,"9","1","0","86","0","0","0","0","3","0"
"Milner, Hoby",571948,2024,63,64,14,"34","1","0","194","5","0","0","2","5","1"
"Waldron, Matt",663362,2024,145,133,40,"80","0","0","440","7","1","10","11","0","1"
"Faedo, Alex",656412,2024,49,55,28,"23","0","3","172","5","0","0","3","8","0"
"Uribe, Abner",682842,2024,15,14,12,"11","3","2","43","2","0","0","0","0","0"
"Povich, Cade",700249,2024,80,69,34,"46","0","0","239","3","0","3","3","0","1"
"Basso, Brady",669620,2024,23,19,5,"10","0","0","67","1","0","1","0","0","1"
"Beeter, Clayton",690925,2024,4,5,1,"2","0","0","11","0","0","0","0","0","0"
"Olson, Reese",681857,2024,100,101,33,"44","0","0","337","4","0","9","4","0","0"
"Gibson, Kyle",502043,2024,161,151,68,"80","0","0","509","8","0","13","4","0","0"
"Dunning, Dane",641540,2024,97,91,40,"56","0","0","285","5","0","2","6","0","0"
"Phillips, Evan",623465,2024,48,63,17,"22","18","4","164","5","0","0","1","9","0"
